req_id,model_id,timestamp,length,deadline,completion_timestamp,queue_time,exec_time,status
1,1,14,3,64,17,0,3,1
2,1,19,3,69,22,0,3,1
4,4,23,2,73,25,0,2,1
3,4,23,2,73,25,0,2,1
5,1,27,3,77,30,0,3,1
6,2,31,4,81,35,0,4,1
7,4,34,2,84,37,1,2,1
10,3,36,7,86,44,1,7,1
9,3,36,7,86,44,1,7,1
8,3,36,7,86,44,1,7,1
13,1,43,3,93,47,1,3,1
12,1,41,3,91,47,3,3,1
11,1,38,3,88,47,6,3,1
15,1,47,3,97,50,0,3,1
14,1,46,3,96,50,1,3,1
16,1,49,3,99,53,1,3,1
17,1,53,3,103,56,0,3,1
21,1,55,3,105,56,0,0,2
20,1,55,3,105,56,0,0,2
18,1,54,3,104,56,0,0,2
23,4,56,2,106,56,0,0,2
22,4,56,2,106,56,0,0,2
19,4,54,2,104,56,0,0,2
24,4,58,2,108,60,0,2,1
25,1,61,3,111,61,0,0,2
26,4,61,2,111,61,0,0,2
27,1,64,3,114,67,0,3,1
28,4,67,2,117,69,0,2,1
29,1,71,3,121,74,0,3,1
30,0,75,2,125,77,0,2,1
31,1,80,3,130,83,0,3,1
32,2,81,4,131,83,0,0,2
33,4,81,2,131,83,0,0,2
34,1,89,3,139,92,0,3,1
35,3,95,7,145,95,0,0,2
36,4,95,2,145,95,0,0,2
37,1,100,3,150,103,0,3,1
38,3,101,7,151,110,2,7,1
39,0,107,2,157,110,0,0,2
40,1,107,3,157,110,0,0,2
41,2,107,4,157,110,0,0,2
42,4,108,2,158,110,0,0,2
43,4,112,2,162,114,0,2,1
44,1,115,3,165,118,0,3,1
45,1,116,3,166,118,0,0,2
49,1,118,3,168,118,0,0,2
48,1,118,3,168,118,0,0,2
47,1,118,3,168,118,0,0,2
46,1,118,3,168,118,0,0,2
52,1,119,3,169,122,0,3,1
51,1,119,3,169,122,0,3,1
50,1,119,3,169,122,0,3,1
56,1,122,3,172,125,0,3,1
55,1,121,3,171,125,1,3,1
54,1,120,3,170,125,2,3,1
53,1,120,3,170,125,2,3,1
57,2,126,4,176,130,0,4,1
58,4,131,2,181,133,0,2,1
59,1,133,3,183,136,0,3,1
60,0,134,2,184,136,0,0,2
61,1,134,3,184,136,0,0,2
62,2,141,4,191,145,0,4,1
66,1,144,3,194,145,0,0,2
65,1,143,3,193,145,0,0,2
63,1,142,3,192,145,0,0,2
64,4,142,2,192,145,0,0,2
67,1,146,3,196,149,0,3,1
68,3,147,7,197,156,2,7,1
69,2,150,4,200,156,0,0,2
73,1,153,3,203,156,0,0,2
72,1,153,3,203,156,0,0,2
71,1,153,3,203,156,0,0,2
70,1,152,3,202,156,0,0,2
74,4,154,2,204,156,0,0,2
78,1,156,3,206,156,0,0,2
77,1,156,3,206,156,0,0,2
76,1,156,3,206,156,0,0,2
75,1,155,3,205,156,0,0,2
80,1,157,3,207,157,0,0,2
79,1,157,3,207,157,0,0,2
81,2,157,4,207,157,0,0,2
82,1,158,3,208,158,0,0,2
83,3,158,7,208,158,0,0,2
84,1,159,3,209,162,0,3,1
85,1,167,3,217,170,0,3,1
86,0,169,2,219,172,1,2,1
87,1,171,3,221,175,1,3,1
88,2,177,4,227,181,0,4,1
89,1,179,3,229,184,2,3,1
90,0,182,2,232,184,0,0,2
91,1,182,3,232,184,0,0,2
92,2,184,4,234,184,0,0,2
93,1,189,3,239,192,0,3,1
97,1,194,3,244,197,0,3,1
96,1,194,3,244,197,0,3,1
95,1,194,3,244,197,0,3,1
94,1,194,3,244,197,0,3,1
98,1,198,3,248,201,0,3,1
99,4,199,2,249,201,0,0,2
100,2,201,4,251,201,0,0,2
101,3,201,7,251,201,0,0,2
102,2,204,4,254,208,0,4,1
103,0,205,2,255,208,0,0,2
104,1,206,3,256,208,0,0,2
105,1,211,3,261,211,0,0,2
106,3,211,7,261,211,0,0,2
108,0,213,2,263,215,0,2,1
107,0,213,2,263,215,0,2,1
112,1,214,3,264,218,1,3,1
111,1,214,3,264,218,1,3,1
110,1,214,3,264,218,1,3,1
109,1,214,3,264,218,1,3,1
113,1,217,3,267,218,0,0,2
114,4,217,2,267,218,0,0,2
115,1,219,3,269,222,0,3,1
116,1,222,3,272,225,0,3,1
119,1,225,3,275,228,0,3,1
118,1,223,3,273,228,2,3,1
117,1,223,3,273,228,2,3,1
120,1,229,3,279,232,0,3,1
122,3,233,7,283,240,0,7,1
121,3,233,7,283,240,0,7,1
