resnet18,resnet50,resnet152,googlenet
6.330143,10.554816,26.348735,3.072000
6.353087,10.445695,26.354911,3.048352
6.307007,10.448575,26.353919,3.053056
6.306496,10.444543,26.338367,3.048831
6.306431,10.451392,26.341600,3.050431
6.307744,10.446559,26.346944,3.071712
6.346399,10.450336,26.354015,3.067552
6.303232,10.445952,26.354591,3.055104
6.307775,10.445376,26.355903,3.115135
6.301695,10.467967,26.343328,3.115135
6.308479,10.445856,26.332639,3.072351
6.305664,10.445119,26.339199,3.078016
6.301504,10.449024,26.333375,3.051520
6.325535,10.446623,26.354560,3.057888
6.302303,10.445311,26.340063,3.049695
6.304992,10.452896,26.381183,3.079967
